freq_hz,level_db
29.645,-8.37
29.927,-8.26
30.306,-7.98
31.573,-7.55
32.481,-6.99
32.789,-6.67
33.839,-6.38
33.945,-6.28
34.376,-6.13
35.142,-5.71
35.926,-5.46
36.381,-5.18
37.192,-4.89
37.309,-4.75
37.545,-4.65
38.992,-4.22
39.736,-3.83
41.658,-3.33
42.054,-3.05
42.721,-2.84
43.127,-2.62
43.95,-2.48
44.647,-2.27
45.071,-2.06
47.103,-1.52
47.7,-1.49
48.305,-1.31
48.764,-1.31
48.918,-1.13
49.227,-1.06
49.382,-0.78
49.694,-0.6
50.642,-0.46
51.609,-0.43
55.138,0.25
58.539,0.46
58.723,0.5
58.908,0.74
61.178,1.03
63.735,1.17
68.957,1.17
70.051,1.28
70.494,1.42
70.717,1.42
70.94,1.28
71.388,1.21
72.521,1.13
74.138,1.35
78.463,1.35
79.208,1.42
81.743,1.35
87.058,1.38
90.412,1.56
91.847,1.45
92.427,1.52
98.748,1.52
100.632,1.45
101.908,1.56
108.193,1.52
110.257,1.63
152.035,1.6
157.891,1.67
195.606,1.63
196.842,1.7
199.338,1.6
228.971,1.6
243.86,1.49
280.112,1.56
370.752,1.52
379.018,1.31
391.146,1.45
399.867,1.45
404.937,1.35
431.268,1.35
432.628,1.28
449.294,1.13
486.105,1.21
490.721,1.24
492.269,1.42
498.511,1.31
500.083,1.31
501.661,1.42
503.244,1.21
506.424,1.17
547.916,1.1
581.709,1.1
592.808,1.17
613.708,1.06
651.559,1.06
678.793,0.89
698.312,0.92
709.397,0.82
772.369,0.74
777.25,0.67
779.702,0.5
782.162,0.46
802.123,0.5
856.976,0.32
944.879,0.25
959.878,0.14
990.595,0.11
1009.495,-0.07
1025.519,0
1041.799,-0.04
1055.008,-0.18
1081.931,-0.21
1085.345,-0.28
1189.158,-0.43
1227.211,-0.64
1246.692,-0.64
1250.625,-0.85
1258.529,-0.99
1315.27,-1.06
1353.091,-1.31
1432.026,-1.49
1534.781,-1.52
1614.114,-1.49
1639.737,-1.38
1719.072,-1.31
1796.578,-1.06
1859.918,-0.99
1877.577,-0.85
1883.501,-0.67
1919.436,-0.6
1956.058,-0.78
1980.859,-0.6
1987.109,-0.46
2063.657,-0.32
2122.997,-0.32
2149.915,-0.21
2177.175,-0.21
2211.736,-0.04
2333.399,0.14
2355.554,0.25
2621.831,0.46
2630.102,0.67
2646.724,0.74
2766.053,0.85
2818.827,1.03
2872.608,1.03
2936.65,1.17
3049.777,1.17
3127.606,1.35
3310.06,1.42
3362.604,1.52
3514.209,1.52
3661.099,1.35
3826.162,1.42
3838.233,1.21
3973.555,1.1
4023.937,1.13
4165.806,0.85
4218.626,0.85
4312.677,0.71
4326.283,0.46
4740.09,0.21
4785.095,0.25
4861.055,-0.04
4907.208,0.07
5032.437,-0.04
5444.752,-0.04
5461.93,0.04
5654.497,0.07
5798.797,0.28
5965.54,0.28
6313.55,0.46
6333.468,0.67
6353.449,0.74
6681.86,1.1
6745.302,1.21
6766.582,1.42
6895.683,1.45
6983.116,1.63
7206.579,1.7
7484.193,1.91
7531.491,2.02
7651.048,2.06
7895.885,2.34
8225.924,2.48
8356.504,2.73
8760.814,3.09
8927.963,3.37
9389.451,3.62
9568.595,3.58
9629.065,3.69
9720.489,3.69
9843.738,3.83
10352.563,3.97
10583.366,4.15
11025.738,4.33
11060.523,4.4
11378.566,4.43
11668.942,4.65
12233.516,4.68
12906.459,4.26
13277.583,3.83
13445.934,3.72
13530.908,3.58
13876.21,3.37
14140.957,2.94
14275.218,2.84
14320.255,2.7
14410.755,2.62
14501.827,2.45
14778.51,2.27
15251.429,1.77
15689.982,1.49
15739.482,1.42
15789.138,1.24
16141.145,0.82
16192.068,0.57
16868.877,0.18
17299.362,-0.28
18079.314,-0.67
18136.352,-1.06
18193.57,-1.17
18716.723,-1.67
19073.823,-1.84
19254.92,-2.02
19560.577,-2.09
19622.289,-2.38
