freq_hz,level_db
29.348,-0.04
38.846,0
38.971,0.14
39.35,0.14
39.477,0
48.208,0
48.363,0.14
49.467,0.14
49.626,0
52.93,0
53.101,0.14
54.313,0.14
54.488,0
57.371,0
57.556,0.14
58.869,0.14
59.059,0.29
69.162,0.29
69.385,0.14
70.059,0.14
70.286,0.29
79.186,0.29
79.442,0.14
80.214,0.14
80.473,0.29
90.664,0.29
90.956,0.43
91.84,0.43
92.136,0.29
97.012,0.29
97.325,0.43
98.27,0.43
98.588,0.58
135.638,0.58
136.076,0.72
150.857,0.72
151.344,0.9
195.224,0.9
195.854,1.05
200.323,1.05
200.969,0.9
202.922,0.9
203.577,1.05
208.221,1.05
208.893,0.9
214.349,0.9
215.041,1.05
222.8,1.05
223.52,1.19
225.691,1.19
226.42,1.05
229.357,1.05
230.097,1.19
303.582,1.19
304.562,1.34
307.52,1.34
308.513,1.19
320.677,1.19
321.713,1.48
356.66,1.48
357.811,1.19
397.961,1.19
399.245,1.05
403.124,1.05
404.425,1.19
408.354,1.19
409.672,1.05
413.652,1.05
414.987,0.9
492.281,0.9
493.87,1.05
500.277,1.05
501.892,0.87
595.371,0.9
597.293,1.05
603.096,1.05
605.042,0.9
681.664,0.9
683.864,1.05
717.734,1.05
720.051,1.19
738.856,1.19
741.241,1.05
767.988,1.05
770.467,0.9
856.92,0.9
859.686,0.72
890.708,0.72
893.583,0.58
928.817,0.58
931.815,0.72
940.867,0.72
943.904,0.43
965.439,0.43
968.555,0.29
1006.745,0.29
1009.995,0.14
1033.037,0.14
1036.372,0
1073.769,0
1077.235,-0.32
1119.71,-0.32
1123.324,-0.47
1134.237,-0.47
1137.898,-0.61
1182.765,-0.61
1186.583,-0.9
1265.58,-0.9
1269.665,-1.05
1282,-1.05
1286.138,-1.23
1444.35,-1.23
1449.012,-0.9
1632.512,-0.9
1637.782,-0.61
1696.881,-0.61
1702.358,-0.47
1746.818,-0.47
1752.456,-0.32
1815.694,-0.32
1821.555,-0.14
1839.251,-0.14
1845.187,0
1893.377,0
1899.489,0.14
1917.942,0.14
1924.133,0.29
1968.032,0.29
1974.384,0.43
1993.565,0.43
2000,0.58
2052.233,0.58
2058.857,0.72
2105.83,0.72
2112.627,0.9
2133.151,0.9
2140.036,1.19
2224.417,1.19
2231.597,1.48
2282.51,1.48
2289.878,1.66
2312.124,1.66
2319.587,1.81
2380.166,1.81
2387.849,1.95
2411.047,1.95
2418.829,2.09
2546.821,2.09
2555.042,2.38
2796.317,2.38
2805.343,2.53
3030.929,2.53
3040.713,2.38
3761.384,2.38
3773.525,2.53
4129.862,2.53
4143.192,2.85
4183.443,2.85
4196.946,3
4292.699,3
4306.556,3.14
4348.393,3.14
4362.429,3.29
4419.028,3.29
4433.291,3.47
4476.36,3.47
4490.809,3.61
4593.267,3.61
4608.093,3.75
4652.86,3.75
4667.879,3.9
4728.44,3.9
4743.703,4.19
4789.787,4.19
4805.248,4.33
4914.879,4.33
4930.744,4.66
5043.238,4.66
5059.517,4.8
5125.16,4.8
5141.703,4.95
5191.654,4.95
5208.412,5.09
5849.115,5.09
5867.995,4.95
5925.002,4.95
5944.127,5.09
6021.246,5.09
6040.682,4.8
6178.5,4.8
6198.443,4.66
6258.66,4.66
6278.862,4.51
6422.114,4.51
6442.843,4.33
6526.433,4.33
6547.5,4.19
6696.88,4.19
6718.497,3.9
6871.779,3.9
6893.96,3.75
6983.403,3.75
7005.944,3.61
7165.784,3.61
7188.914,3.47
7258.753,3.47
7282.184,3.29
7352.929,3.29
7376.663,3.14
7448.326,3.14
7472.368,3
7867.768,3
7893.164,2.85
7969.845,2.85
7995.57,2.53
9243.375,2.53
9273.211,2.71
9484.779,2.71
9515.394,2.85
9638.847,2.85
9669.96,3
9890.58,3
9922.505,2.85
10018.9,2.85
10051.24,3
12274.212,3
12313.831,2.71
12594.77,2.71
12635.424,2.53
13304.027,2.53
13346.97,2.38
14053.224,2.38
14098.586,2.09
14420.244,2.09
14466.791,1.95
14607.333,1.95
14654.483,1.81
14796.849,1.81
14844.611,1.66
14988.824,1.66
15037.206,1.48
15232.3,1.48
15281.467,1.34
15429.924,1.34
15479.73,1.19
15630.113,1.19
15680.565,1.05
15832.899,1.05
15884.005,0.72
16038.316,0.72
16090.085,0.43
16510.301,0.43
16563.593,0.14
16724.506,0.14
16778.49,-0.14
16941.491,-0.14
16996.175,-0.47
17161.29,-0.47
17216.684,-0.61
17383.942,-0.61
17440.055,-0.94
17609.482,-0.94
17666.323,-1.23
17895.527,-1.23
17953.291,-1.52
18127.704,-1.52
18186.218,-1.81
18362.894,-1.81
18422.166,-2.09
18601.135,-2.09
18661.177,-2.42
18842.467,-2.42
18903.288,-2.74
19086.93,-2.74
19148.54,-3.18
19396.974,-3.18
19459.585,-3.47
19648.631,-3.47
19712.054,-3.9
19903.554,-3.9
19967.799,-4.22
