freq_hz,level_db
26.119,-5.11
26.902,-5.11
27.545,-4.97
28.203,-4.97
28.878,-4.84
29.568,-4.84
31.74,-4.58
34.071,-4.44
34.885,-4.31
35.719,-4.31
38.343,-4.05
39.26,-4.05
44.444,-3.65
45.507,-3.65
46.594,-3.52
47.708,-3.52
51.212,-3.25
52.437,-3.25
56.622,-2.99
57.975,-2.99
62.233,-2.72
67.2,-2.59
68.807,-2.46
74.298,-2.33
76.074,-2.2
82.145,-2.06
84.109,-1.93
95.78,-1.67
121.305,-1.01
124.941,-1.01
127.928,-0.87
131.762,-0.87
143.12,-0.61
147.41,-0.61
151.828,-0.48
156.379,-0.48
161.066,-0.34
177.029,-0.21
183.415,-0.08
191.157,-0.08
192.289,-0.01
3142.263,-0.01
3160.877,0.05
3599.478,0.05
3773.638,0.19
3979.661,0.19
4123.221,0.32
4271.96,0.32
4297.266,0.38
4531.876,0.45
4981.034,0.71
5100.113,0.85
5191.288,0.85
5911.628,1.38
6271.306,1.71
6345.826,1.71
6421.231,1.84
6497.533,1.84
6771.8,2.1
6852.267,2.1
6933.691,2.24
7016.082,2.24
7487.048,2.63
7576.015,2.63
8277.842,3.1
8729.773,3.23
8938.472,3.36
9152.161,3.36
9370.959,3.49
9709.001,3.49
10178.769,3.62
13044.547,3.62
13675.705,3.49
14169.035,3.49
15031.113,3.29
15758.391,3.03
15945.643,2.9
16135.121,2.9
16230.702,2.76
16423.567,2.76
16717.17,2.5
16915.815,2.5
17016.021,2.37
17116.821,2.37
17218.218,2.24
17320.215,2.24
17422.817,2.1
17526.027,2.1
17945.015,1.84
18813.281,1.24
19840.396,0.45
19957.927,0.45
