freq_hz,level_db
20.264,0.34
20.586,0.28
20.913,0.4
21.245,0.4
21.357,0.52
22.508,0.81
24.353,1.51
24.869,1.51
25,1.63
25.531,1.63
26.21,1.87
26.626,1.87
26.908,1.98
27.049,1.92
29.113,2.69
29.42,2.57
31.006,2.92
31.169,3.04
31.498,3.04
32.167,3.22
32.336,3.16
34.803,3.98
34.986,3.92
36.106,3.98
36.296,4.1
36.873,4.21
37.854,4.33
38.053,4.45
38.657,4.33
42.267,5.27
42.489,5.21
42.938,5.39
44.08,5.5
45.971,5.86
46.457,5.86
49.739,6.68
50.264,6.56
50.794,6.56
51.873,6.8
52.42,6.8
52.696,6.91
53.252,6.91
53.533,7.03
54.098,7.03
54.669,7.15
55.537,7.09
59.774,7.91
60.088,7.79
62.012,8.09
62.666,8.09
62.996,8.2
63.661,8.2
63.997,8.32
65.013,8.32
66.045,8.44
66.393,8.38
71.834,9.03
72.974,8.97
73.745,9.08
74.916,9.08
76.105,9.26
77.314,9.26
78.541,9.38
79.788,9.26
86.327,9.73
87.698,9.67
104.29,9.96
108.195,9.79
113.431,9.73
114.028,9.61
116.449,9.67
125.332,8.91
126.655,8.97
128.666,8.91
132.089,8.67
133.484,8.5
137.756,8.38
139.943,8.5
149.83,7.56
153.816,7.5
157.908,7.32
161.26,7.03
165.55,6.91
179.117,6.03
182.919,5.97
192.78,5.5
194.816,5.5
195.841,5.39
197.909,5.45
214.128,4.51
216.388,4.51
222.145,4.33
228.055,4.1
229.255,3.98
231.676,3.98
232.895,3.86
235.354,3.8
237.839,3.92
255.982,3.04
264.176,2.92
265.567,2.81
268.37,2.81
274.067,2.57
282.839,2.51
306.018,1.69
309.249,1.75
317.476,1.63
320.827,1.51
324.214,1.51
325.921,1.4
331.096,1.4
338.124,1.22
339.904,1.16
341.694,-0.01
350.784,-0.07
362.012,-0.01
