freq_hz,level_db
20.052,-9.58
20.803,-9.23
21.582,-8.64
22.156,-8.4
22.746,-7.99
22.865,-7.99
22.986,-7.82
23.597,-7.58
25.397,-6.53
26.073,-6.29
26.626,-5.94
27.049,-5.82
27.192,-5.7
28.062,-5.35
28.21,-5.18
28.508,-5.12
29.266,-4.71
30.682,-4.18
30.844,-4.06
31.006,-4.06
31.498,-3.83
33.023,-3.36
33.547,-3.06
34.44,-2.83
34.803,-2.65
35.917,-2.36
36.106,-2.24
36.873,-2.07
38.053,-1.65
38.253,-1.65
38.455,-1.54
38.657,-1.6
38.861,-1.48
40.104,-1.19
40.741,-0.95
41.388,-0.83
41.606,-0.72
42.489,-0.6
42.938,-0.42
44.08,-0.25
44.78,-0.01
45.253,-0.01
45.971,0.22
46.457,0.22
47.194,0.4
47.692,0.4
47.944,0.52
48.196,0.52
48.705,0.75
49.478,0.75
50,0.93
50.528,0.93
51.601,1.16
52.146,1.16
53.252,1.46
54.383,1.51
54.957,1.63
55.83,1.63
56.716,1.81
57.92,1.87
58.531,2.04
61.043,2.22
61.687,2.34
62.666,2.34
62.996,2.45
63.997,2.45
64.672,2.57
66.045,2.57
66.393,2.69
67.447,2.81
68.518,2.81
70.711,3.04
72.212,3.04
73.358,3.16
76.506,3.27
77.314,3.39
79.788,3.39
80.631,3.51
83.649,3.51
84.978,3.63
91.942,3.74
100,3.98
101.588,3.92
102.66,3.98
116.449,3.98
117.062,3.92
121.445,3.92
124.023,3.8
132.089,3.74
138.481,3.51
142.165,3.57
149.83,3.33
150.619,3.22
153.816,3.16
155.44,3.04
157.908,3.04
163.82,2.81
165.55,2.81
168.178,2.69
169.064,2.57
171.748,2.57
173.561,2.45
180.06,2.34
181.961,2.22
197.909,1.81
198.951,1.69
201.051,1.63
208.579,1.57
209.677,1.46
211.891,1.46
218.673,1.16
222.145,1.16
228.055,0.93
231.676,0.93
241.615,0.63
257.33,0.46
260.047,0.34
265.567,0.34
269.783,0.22
281.358,0.22
291.892,0.05
302.821,0.05
304.415,0.11
307.629,-0.01
317.476,0.05
319.147,-0.01
354.487,-0.07
362.012,-0.01
369.696,0.34
379.531,0.34
404.216,0.16
406.344,0.22
414.969,0.05
428.252,0.05
430.506,-0.01
439.644,-0.01
448.976,0.11
468.239,0.11
480.695,-0.01
501.319,0.11
506.611,-0.01
539.562,-0.01
542.402,0.05
568.651,0.05
571.645,-0.01
583.779,0.05
808.425,0.05
812.681,0.11
816.96,0.05
825.585,0.11
829.931,0.05
936.47,0.05
941.4,0.11
951.339,0.05
1002.629,0.05
1007.908,0.11
1013.214,0.05
1373.948,0.05
1403.112,0.16
1518.098,0.22
1542.202,0.34
1616.836,0.46
1651.155,0.63
1686.203,0.69
1704.005,0.87
1786.469,1.16
1814.834,1.4
1853.356,1.51
1863.114,1.63
1882.784,1.63
1932.871,1.98
1973.899,2.16
2015.798,2.45
2037.08,2.51
2047.804,2.63
2058.586,2.63
2113.35,3.04
2124.477,3.04
2158.209,3.33
2180.994,3.39
2262.653,3.92
2298.579,4.04
2372.152,4.45
2409.817,4.57
2422.504,4.68
2448.08,4.68
2513.206,5.04
2648.702,5.39
2662.647,5.5
2690.758,5.5
2835.826,5.86
2973.063,5.97
3020.269,6.09
3216.708,6.21
3554.194,6.21
3667.956,6.09
3687.268,5.97
3805.289,5.86
4010.446,5.45
4052.786,5.27
4138.812,5.15
4160.602,5.04
4226.664,4.92
4248.917,4.8
4454.539,4.33
4477.991,4.21
4525.267,4.21
4549.092,4.1
4769.241,3.57
4870.474,3.45
4921.894,3.27
4947.807,3.1
5052.831,2.98
5106.176,2.81
5133.059,2.81
5160.084,2.63
5269.614,2.51
5325.247,2.34
5495.697,2.1
5524.631,1.98
5553.718,1.98
5701.463,1.63
5791.99,1.63
5822.484,1.51
5883.955,1.46
5914.933,1.34
6008.85,1.28
6040.485,1.16
6104.257,1.16
6233.828,0.93
6332.808,0.87
6399.667,0.69
6535.508,0.69
6569.917,0.58
6709.372,0.4
6815.903,0.4
7071.099,0.22
7413.297,0.22
7452.327,0.16
8497.76,0.22
9003.056,0.52
9291.225,0.93
9340.142,0.93
9488.444,1.22
9538.399,1.22
9639.1,1.51
9689.849,1.57
10052.649,1.75
10105.574,1.87
10212.263,1.92
10374.412,1.92
10594.623,2.04
11343.107,2.04
11892.045,1.81
12080.866,1.63
12272.684,1.63
12337.298,1.51
12533.189,1.46
12934.349,1.04
13002.447,1.04
13070.903,0.93
13139.719,0.93
13348.35,0.63
13703.456,0.4
14142.074,-0.07
14291.378,-0.31
14442.259,-0.36
14594.732,-0.54
14671.571,-0.72
14904.525,-0.95
15061.878,-1.3
15381.587,-1.6
15462.569,-1.77
15708.082,-2.01
15957.493,-2.42
16296.212,-2.83
16729.739,-3.59
