freq_hz,level_db
70.75,-7.48
72.553,-7.48
73.011,-6.78
74.872,-6.78
75.344,-6.64
75.82,-6.64
76.78,-6.29
77.752,-6.29
78.242,-6.08
78.736,-6.08
79.233,-5.73
79.733,-5.73
81.252,-5.17
83.323,-5.17
83.849,-4.83
86.528,-4.83
87.074,-4.55
88.733,-4.55
89.293,-4.34
93.314,-4.2
94.495,-3.78
96.296,-3.78
96.903,-3.64
99.373,-3.64
101.266,-2.94
102.548,-2.94
103.196,-2.73
107.165,-2.73
107.842,-2.59
111.288,-2.59
111.99,-2.45
114.844,-2.45
115.569,-2.24
116.298,-2.24
117.032,-2.1
120.015,-2.1
120.772,-1.89
124.632,-1.89
125.418,-1.68
150.52,-1.68
153.388,-1.54
156.311,-1.54
157.297,-1.26
215.443,-1.26
216.803,-0.84
222.328,-0.84
223.731,-0.63
304.514,-0.63
310.315,-0.49
589.511,-0.49
600.743,-0.35
616.052,-0.35
619.94,-0.14
1294.261,-0.14
1302.429,0
1335.62,0
1344.05,0.21
1378.302,0.21
1387,0.42
1467.799,0.42
1477.063,0.77
1514.704,0.77
1543.564,1.05
1613.059,1.05
1623.239,1.26
1772.694,1.26
1783.882,1.47
1829.343,1.47
1840.888,1.61
2035.838,1.61
2048.686,1.47
2100.895,1.47
2114.154,1.26
2279.94,1.26
2294.329,1.05
2397.626,1.05
2412.757,0.77
2458.727,0.77
2474.245,0.42
2618.381,0.42
2634.905,0.21
2668.268,0.21
2685.108,0
2753.536,0
2770.913,-0.14
2841.528,-0.14
2859.461,-0.35
2932.332,-0.35
2950.838,-0.49
3083.692,-0.49
3103.154,-0.35
3162.278,-0.35
3182.235,-0.14
3222.528,-0.14
3242.866,0
3325.507,0
3346.495,0.21
3388.868,0.21
3410.255,0.42
3497.163,0.42
3519.234,0.77
3586.285,0.77
3608.918,1.05
3677.679,1.05
3700.889,1.26
3724.245,1.26
3747.749,1.47
3771.401,1.47
3795.203,1.75
3891.92,1.75
3966.073,2.1
4041.638,2.1
4067.145,2.31
4144.635,2.31
4170.792,3.01
4277.082,3.01
4304.075,3.15
4358.572,3.15
4386.08,3.36
4413.76,3.36
4441.616,3.57
4497.855,3.57
4526.241,3.85
4612.479,3.85
4670.882,4.2
4789.916,4.2
4820.145,4.41
5068.95,4.41
5100.941,4.2
5500.943,4.2
5535.66,4.06
5605.752,4.06
5641.13,3.85
5676.732,3.85
5784.89,3.57
5895.109,3.57
6007.427,3.36
6045.34,3.36
6083.493,3.15
6727.735,3.15
6770.194,3.36
7119.656,3.36
7164.589,3.57
7301.095,3.57
7347.172,3.71
7534.409,3.71
7581.959,3.85
7775.179,3.85
7824.248,4.06
7923.318,4.06
8074.28,4.2
8817.697,4.2
8873.346,4.41
8985.7,4.41
9156.903,4.76
9874.964,4.76
10063.11,4.41
10126.619,4.41
10190.529,4.2
10989.644,4.2
11059,4.06
11556.905,4.06
11629.841,3.85
11851.423,3.85
11926.218,3.71
12077.227,3.71
12153.447,3.57
12307.333,3.57
12385.005,3.36
12463.167,3.36
12620.975,3.01
12861.441,3.01
12942.61,2.31
13272.441,2.31
13356.205,2.1
13440.496,2.1
13610.679,1.75
13783.016,1.75
13870.001,1.61
13957.536,1.61
14045.622,1.26
14134.265,1.26
14223.467,0.77
14585.94,0.77
14677.993,0.21
14863.844,0.21
15147.043,-0.7
15338.834,-0.7
15435.638,-1.12
15533.053,-1.12
15631.083,-1.33
15729.732,-1.33
15829.003,-1.89
15928.9,-2.24
16029.428,-2.24
16130.591,-3.08
16232.392,-3.08
16437.925,-3.43
16541.666,-3.43
16751.115,-4.2
16856.832,-4.2
16963.216,-4.9
17070.272,-4.9
17178.003,-5.31
17286.414,-5.31
17395.51,-5.73
17505.294,-6.29
17615.77,-6.29
17726.944,-6.92
17838.82,-6.92
17951.402,-7.27
18064.694,-8.18
18178.701,-8.18
18293.427,-8.74
18408.878,-9.16
18525.057,-9.16
18641.97,-10.14
18759.62,-10.14
18878.013,-11.54
18997.153,-11.54
19117.045,-11.89
19237.694,-12.38
19359.104,-12.38
19481.28,-13.64
19604.227,-13.64
19727.95,-14.34
