freq_hz,level_db
20.281,-1.03
40.884,-1.03
42.393,-1.15
67.108,-1.15
74.82,-1.41
83.418,-1.41
90.783,-1.15
94.135,-1.15
96.439,-1.03
102.447,-1.03
104.954,-0.9
111.492,-0.9
112.848,-0.83
115.609,-1.15
130.462,-0.96
132.049,-0.77
160.223,-0.71
162.171,-0.58
183.007,-0.51
194.408,-0.38
266.193,-0.45
269.43,-0.38
304.046,-0.38
315.274,-0.26
396.666,-0.26
406.372,-0.38
426.502,-0.38
442.251,-0.51
458.582,-0.51
475.516,-0.38
493.075,-0.38
505.14,-0.26
859.772,-0.26
891.52,-0.13
913.335,-0.13
947.061,-0.26
1055.898,-0.26
1094.889,-0.13
1149.125,-0.13
1191.559,0
1428.419,0
1481.166,-0.13
1886.212,-0.13
2233.991,0.38
2460.799,0.38
2551.668,0.51
2914.519,0.51
3022.143,0.38
3133.74,0.38
3410.424,0.19
3756.671,0.26
3848.592,0.38
4039.236,0.38
4188.391,0.51
4449.323,0.51
4613.622,0.38
4726.511,0.38
4842.163,0.26
5206.375,0.26
5946.73,0.77
6241.308,0.77
6550.478,0.64
6710.759,0.51
6874.963,0.26
7043.184,0.13
7303.265,-0.19
7572.95,-0.26
7758.25,-0.19
8142.564,0.19
8341.801,0.26
9413.547,0.26
9643.884,0.32
10495.361,1.03
10752.169,1.15
11560.913,1.15
12430.488,1.35
12581.648,1.47
12889.504,1.54
13204.894,1.47
13859.012,1.03
14027.544,1.03
15082.651,0.26
15451.704,0.13
16414.328,-0.51
16613.932,-0.51
17227.429,-0.83
18748.472,-1.15
19677.198,-1.15
