freq_hz,level_db
24.897,-8.78
25.215,-8.56
26.358,-7.27
27.034,-6.68
27.379,-6.27
28.26,-5.54
28.985,-5.17
29.169,-4.76
29.541,-4.72
29.918,-4.58
30.108,-4.39
30.685,-4.13
31.077,-3.84
33.319,-2.58
36.179,-1.48
37.82,-0.96
41.589,-0.15
42.387,0.11
45.735,0.55
46.026,0.7
51.584,1.7
54.611,1.99
60.436,2.25
69.473,2.21
75.915,1.92
77.864,1.92
91.804,1.22
93.565,1.03
94.758,1.03
95.966,0.89
99.684,0.7
102.242,0.44
103.545,0.44
108.24,0.15
112.433,0.07
116.789,-0.15
135.964,-0.55
139.453,-0.74
145.776,-0.85
171.875,-1.73
175.173,-1.92
177.406,-1.92
180.81,-2.14
197.577,-2.66
198.832,-2.77
221.439,-3.39
227.122,-3.62
232.95,-3.69
234.43,-3.8
245.059,-4.1
252.945,-4.21
276.402,-4.72
287.109,-4.8
288.933,-5.09
290.769,-5.13
303.953,-5.24
334.25,-5.76
345.006,-5.83
351.625,-5.98
356.108,-5.98
396.597,-6.46
406.774,-6.64
414.578,-6.64
458.8,-7.16
467.602,-7.16
476.573,-7.31
491.909,-7.38
501.346,-7.53
510.964,-7.53
547.838,-7.82
576.315,-7.93
641.841,-7.93
679.496,-7.82
683.814,-7.75
737.82,-7.53
756.754,-7.53
791.064,-7.38
869.916,-7.31
920.951,-7.16
1045.339,-6.42
1106.666,-5.94
1120.775,-5.76
1127.897,-5.76
1179.035,-5.24
1201.655,-5.13
1209.291,-4.76
1224.709,-4.72
1304.798,-3.99
1329.831,-3.69
1338.281,-3.69
1355.344,-3.47
1434.858,-2.8
1443.976,-2.8
1462.386,-2.58
1490.442,-2.47
1702.498,-1.14
1813.832,-0.37
1825.358,-0.22
1896.069,0.3
1944.726,0.55
1957.083,0.7
1994.63,0.85
2032.898,1.11
2058.816,1.14
2098.315,1.37
2165.837,1.55
2249.739,1.7
2412.089,1.77
2458.366,1.92
2505.53,1.92
2652.521,2.44
2737.878,2.8
3029.916,4.21
3049.17,4.21
3187.416,4.65
3374.412,4.8
3395.855,5.09
3903.658,5.2
4106.578,5.54
4320.045,6.05
4811.227,7.75
4997.606,8.23
5158.426,8.49
5290.8,8.56
5461.054,8.52
5636.787,8.34
5967.479,7.64
6043.562,7.38
6562.305,6.27
6604.006,6.27
6730.704,6.05
6991.441,5.9
7216.421,5.9
7639.785,6.05
7885.629,6.27
8087.987,6.35
8454.689,6.35
8508.416,6.27
8838.018,6.27
9356.516,6.13
9780.733,6.27
10620.251,7.16
10962.004,7.34
11386.655,7.27
11753.07,6.94
12054.673,6.49
12442.584,5.76
12521.652,5.5
12761.882,5.17
12842.978,4.76
13510.58,3.51
13682.834,3.28
13857.284,2.95
14763.47,1.92
14857.286,1.7
15142.325,1.25
15629.595,0.15
15728.915,-0.22
16132.545,-2.03
16338.228,-3.17
16546.533,-4.17
16651.68,-4.5
16757.494,-5.28
17078.99,-6.49
17296.739,-7.12
17406.653,-7.56
17628.58,-7.9
17966.787,-8.27
18080.959,-8.3
