freq_hz,level_db
57.385,-0.22
60.967,0.25
69.577,1.54
81.618,2.9
86.237,3.3
92.125,3.67
101.161,4.38
111.697,4.88
112.314,5.12
120.645,5.4
126.076,5.49
141.524,5.49
173.491,5.12
174.449,4.88
184.32,4.75
232.258,3.64
270.958,2.72
273.958,2.72
281.602,2.5
299.179,2.22
309.224,1.98
321.371,1.82
347.114,1.7
413.968,1.05
554.191,0.43
585.55,0.19
657.299,0
725.757,-0.12
796.945,-0.12
904.5,0.12
955.681,0.09
1055.215,-0.19
1078.705,-0.19
1178.011,0.12
1279.399,0.19
1484.39,1.17
1542.698,1.3
1648.034,1.7
1789.876,1.98
2009.195,2.72
2099.643,2.9
2331.116,3.24
2573.9,3.21
2660.323,3.46
2889.289,4.51
3002.783,4.75
3120.736,4.88
3137.961,5.12
3721.784,5.43
3804.634,5.49
3954.084,5.74
4154.893,6.17
4438.591,7.01
4587.623,7.31
4741.66,7.5
4955.117,7.96
4982.466,7.96
5149.76,8.43
5293.454,8.64
5441.158,8.7
5623.853,8.58
5844.765,8.21
5974.875,7.9
6633.567,5.96
6670.18,5.93
6932.193,5.28
7047.611,5.12
7086.51,4.85
7164.952,4.75
7405.526,4.26
7612.163,4.01
8929.575,3.4
9486.928,3.46
9751.643,3.64
10079.069,3.73
10886.457,3.67
11314.09,3.89
11693.978,3.83
11888.678,3.58
12020.277,3.36
12287.859,2.75
12911.9,1.11
13567.633,-0.37
13946.213,-1.36
14654.474,-2.87
15398.704,-4.66
15483.695,-4.78
15569.155,-5.31
15828.376,-6.08
