freq_hz,level_db
37.779,-9.59
38.792,-9.42
41.553,-8.6
44.748,-7.98
45.464,-7.77
45.948,-7.74
46.683,-7.5
47.179,-7.5
47.681,-7.36
51.076,-6.95
52.169,-6.92
53.851,-6.68
54.424,-6.68
57.381,-6.2
59.232,-5.79
62.12,-4.97
65.843,-3.8
68.327,-3.15
69.788,-2.88
70.159,-2.74
72.039,-2.5
72.806,-2.33
75.553,-2.05
83.101,-1.85
89.018,-1.47
93.359,-0.99
95.862,-0.86
103.232,-0.03
106.562,0.17
108.841,0.45
109.999,0.45
112.351,0.65
113.547,0.65
119.716,0.99
122.925,1.06
126.89,1.27
128.92,1.27
134.493,1.51
146.374,1.71
151.897,1.88
157.628,1.88
169.746,2.09
243.246,2.09
268.969,1.88
285.087,1.88
298.99,1.75
359.813,1.51
415.064,1.06
451.73,0.99
515.611,0.65
529.432,0.65
552.322,0.45
564.135,0.45
582.33,0.24
601.113,0.24
604.301,0.17
623.792,0.17
700.793,-0.1
795.674,-0.21
932.538,-0.17
1087.178,0.17
1128.196,0.45
1146.246,0.45
1195.803,0.65
1315.281,0.68
1423.916,0.89
1462.086,1.06
1485.477,1.06
1557.921,1.27
1599.684,1.27
1677.697,1.51
1759.515,1.64
2008.334,2.33
2040.465,2.33
2128.683,2.57
2220.715,2.71
2391.447,3.18
2847.643,4.62
3066.576,4.83
3082.843,5.1
3302.34,5.1
3319.858,4.83
3355.173,4.79
3575.095,4.76
3709.98,4.62
3890.909,4.62
3953.159,4.76
3995.211,4.76
4016.404,5.14
4080.661,5.21
4257.085,5.79
4348.137,5.89
4512.189,5.65
4560.187,5.65
4657.722,5.45
4732.24,5.45
4807.95,5.34
4963.022,5.38
5177.594,5.65
5430.095,5.68
5516.97,5.65
5725.121,5.24
5847.572,5.14
5878.591,4.83
5909.776,4.76
6068.196,4.62
6197.984,4.42
6364.13,4.35
6604.244,4.45
6817.253,4.73
6963.063,4.79
7000,5.14
7264.104,5.31
7341.377,5.45
7578.161,5.65
8032.279,5.79
8291.347,5.65
8604.173,5.21
8788.202,5.1
8834.821,4.79
9314.83,4.38
9666.271,4.25
9925.39,4.38
10084.184,4.62
10299.867,4.79
10354.505,5.14
10464.652,5.24
11091.741,6.4
11209.73,6.54
11510.223,6.68
11881.467,6.23
12264.685,5.41
12527.006,5.14
12593.458,4.83
12660.263,4.76
12999.64,4.73
13137.924,4.59
13418.922,4.04
13705.93,3.36
14450.595,1.44
14837.964,0.58
14916.676,0.31
15075.353,0.07
15397.789,-0.62
15810.55,-1.34
16234.375,-1.71
16669.561,-2.47
17026.095,-3.29
17116.414,-3.6
17762.202,-5.27
18926.463,-9.08
19026.862,-9.32
19127.795,-9.42
