freq_hz,level_db
51.632,-7.35
57.224,-6.8
58.07,-6.8
58.499,-6.69
59.364,-6.69
59.802,-6.57
60.687,-6.57
62.039,-6.35
63.888,-6.24
65.312,-6.02
66.278,-6.02
66.767,-5.91
69.775,-5.64
70.289,-5.52
70.808,-5.3
72.385,-5.19
73.456,-4.97
77.332,-4.64
78.476,-4.36
83.225,-3.87
84.457,-3.65
88.913,-3.15
101.48,-2.04
103.741,-1.93
110.019,-1.38
118.404,-0.83
119.277,-0.83
120.156,-0.72
121.042,-0.72
123.738,-0.5
124.65,-0.5
125.569,-0.28
132.194,-0.17
133.169,-0.06
135.139,-0.06
138.15,0.17
145.439,0.28
146.511,0.5
149.775,0.61
153.112,0.61
155.377,0.72
158.839,0.72
161.189,0.83
174.753,0.83
189.458,1.05
203.897,1.1
214.654,1.05
217.83,0.94
234.431,0.72
243.201,0.5
244.994,0.28
257.919,0.17
259.82,0.06
296.544,0.06
319.144,0.17
321.497,0.11
375.113,0.06
392.014,-0.06
457.39,-0.06
474.5,-0.17
565.967,-0.17
578.576,-0.06
650.724,-0.22
805.195,-0.17
885.867,-0.06
1033.604,-0.17
1278.963,-0.11
1288.391,-0.06
1653.868,-0.06
1887.631,0.17
2301.662,0.28
2318.629,0.44
2370.285,0.5
2765.58,0.66
2827.194,0.5
2848.036,0.33
2911.487,0.17
2998.293,-0.28
3042.661,-0.39
3065.091,-0.61
3087.686,-0.72
3156.476,-0.88
3203.186,-0.88
3250.586,-0.83
3298.689,-0.66
3472.721,0.22
3524.11,0.39
3550.089,0.61
3655.934,1.05
3710.035,1.44
3905.769,2.49
4111.829,3.26
4360.672,3.98
4557.138,4.25
4940.602,4.31
5356.334,4.53
5764.552,4.53
6113.415,4.14
6249.615,3.92
6435.947,3.92
6627.834,4.03
6875.758,3.76
7080.758,3.37
7291.87,2.87
7509.276,2.27
7733.165,1.88
7963.728,1.82
8201.166,1.93
8507.943,2.71
8826.195,3.31
8891.26,3.31
9156.352,3.76
9568.883,4.25
9782.067,4.36
10147.98,3.92
10298.149,3.65
10527.58,3.04
11001.89,1.66
11164.696,1.27
11247,1.16
11413.432,0.77
11497.57,0.5
11927.654,-0.06
12373.826,-0.17
13513.925,0.22
13815,0
14226.892,-0.5
14437.421,-0.99
14543.851,-1.38
14651.066,-1.66
14867.872,-2.82
15087.886,-4.31
15311.156,-6.08
15537.73,-7.68
15767.656,-9.06
15883.892,-9.67
16118.942,-10.44
16237.767,-10.61
16478.053,-11.22
16599.526,-11.33
16845.165,-11.71
17220.456,-12.04
17475.284,-12.15
17996.308,-12.21
