freq_hz,level_db
20.033,-1.51
32.75,-1.26
51.184,-0.73
67.717,-0.52
107.074,-0.48
140.251,-0.3
168.742,-0.3
260.23,-0.12
280.024,0.02
379.217,-0.09
441.301,0.27
481.24,0.3
554.455,0.09
602.623,0.09
720.228,-0.07
1058.325,0.02
1193.211,0.12
1354.285,0.34
1735.901,1.01
1963.679,1.23
2254.906,1.37
2919.34,1.39
3125.733,1.48
3352.298,2.01
3792.173,3.16
4087.424,3.54
4275.497,3.54
4654.678,3.25
5075.937,2.86
5318.348,2.76
5703.842,2.76
6056.43,2.54
6303.515,2.49
6989.488,2.51
7250.439,2.61
7986.058,3.18
8367.447,3.32
10425.735,3.4
11015.016,3.8
12072.092,4.68
13011.999,4.98
13475.33,4.96
14500.311,4.44
15551.349,3.54
16623.085,2.4
18097.336,1.1
18586.263,0.78
19966.705,0.18
