freq_hz,level_db
20.198,-11.73
20.659,-11.61
28.171,-8.68
31.356,-7.77
32.527,-7.52
32.803,-7.4
33.269,-7.34
33.552,-7.22
42.757,-5.51
54.03,-4.17
67.7,-3.14
86.52,-2.22
118.98,-1.34
167.823,-0.67
244.173,-0.21
355.258,0
991.354,0.03
999.774,-0.21
1002.597,0.22
1008.266,0.22
1013.968,-0.09
1028.362,0
3525.439,0
4070.597,0.16
4582.298,0.4
5519.432,0.95
6974.618,1.8
7741.473,2.05
8496.286,2.11
9324.695,2.01
10320.801,1.8
13227.003,1.01
16667.216,-0.03
18709.573,-0.76
19572.866,-1.18
19850.73,-1.22
