freq_hz,level_db
19.984,-12.07
20.097,-12.1
20.382,-11.98
23.535,-10.03
29.574,-7.23
34.342,-5.58
40.444,-3.96
48.856,-2.38
55.938,-1.46
65.323,-0.67
75.853,-0.18
86.117,0
3182.407,-0.06
3965.385,0.06
4817.175,0.06
5257.259,-0.12
5515.437,-0.55
5705.278,-0.73
5935.033,-0.73
6208.962,-0.4
6795.332,0.95
7009.431,1.28
7374.424,1.59
7649.794,1.65
7780.333,1.8
8002.866,2.2
8208.583,2.68
8467.21,3.14
8709.39,3.41
8833.066,3.48
10257.054,3.41
11677.791,3.17
12925.618,2.74
13446.141,2.44
14027.128,1.95
14266.492,1.68
15009.372,0.49
15438.671,-0.3
17776.527,-4.7
19237.101,-6.98
19565.37,-7.41
19787.322,-7.56
19899.24,-7.56
