freq_hz,level_db
20.103,-2.68
20.248,-2.68
20.687,-2.43
20.836,-2.26
20.986,-2.22
21.442,-1.84
22.544,-1.21
23.873,-0.75
25.281,-0.54
43.884,-0.46
44.837,-0.38
159.286,-0.29
163.915,-0.21
330.705,-0.21
340.316,-0.13
630.054,-0.13
732.313,-0.04
1078.101,-0.04
1117.407,-0.13
1262.085,-0.13
1271.157,-0.21
1425.495,-0.21
1446.061,-0.29
1621.636,-0.29
1633.292,-0.38
1844.764,-0.38
1858.024,-0.46
2024.773,-0.46
2113.678,-0.54
2456.732,-0.54
2492.175,-0.46
2564.603,-0.46
2583.037,-0.38
2875.987,-0.29
2896.659,-0.21
3023.847,-0.21
3045.582,-0.13
3295.224,-0.04
3318.909,0.04
3390.991,0.04
3857.573,0.46
4548.349,1.34
4613.969,1.51
4714.177,1.59
4992.169,2.05
5440.193,2.55
5719.884,2.72
5760.997,2.8
6323.145,2.89
6648.23,2.72
6940.146,2.68
7672.104,2.72
7727.249,2.8
7895.073,2.8
8727.744,3.35
9308.845,3.93
10071.877,4.39
10665.808,4.39
11054.672,4.14
11706.558,3.39
12046.778,2.93
13317.319,1.84
14203.997,1.38
15814.915,0.84
16391.51,0.54
17862.573,-0.54
18915.916,-1.55
20031.374,-2.89
