freq_hz,level_db
26.054,-9.42
26.298,-9.13
27.042,-8.7
28.86,-8.7
29.13,-8.84
30.233,-8.84
30.516,-8.7
34.436,-8.7
35.41,-8.41
37.791,-8.41
38.86,-8.12
39.959,-8.12
40.332,-7.97
41.089,-7.97
41.473,-7.83
43.044,-7.83
44.262,-7.54
45.939,-7.54
46.801,-7.25
48.125,-7.25
48.574,-7.1
49.028,-7.1
50.415,-6.81
50.886,-6.96
51.841,-6.67
53.307,-6.67
54.307,-6.38
55.843,-6.38
56.891,-6.09
57.959,-6.09
58.501,-5.94
59.047,-5.94
60.155,-5.65
61.284,-5.65
63.018,-5.36
63.606,-5.36
64.2,-5.22
64.8,-5.22
66.633,-4.93
67.255,-4.93
68.517,-4.64
70.455,-4.49
71.113,-4.35
71.778,-4.35
73.125,-4.06
73.808,-4.06
75.193,-3.77
75.895,-3.77
79.507,-3.04
80.249,-3.04
93.12,-0.72
93.99,-0.43
94.868,-0.43
95.754,-0.14
99.382,0.43
100.31,0.72
101.247,0.72
102.193,1.01
103.148,1.01
104.111,1.3
108.056,1.88
109.065,2.17
110.084,2.17
111.112,2.46
112.15,2.46
113.197,2.75
114.255,2.75
115.322,3.04
116.399,3.04
117.486,3.33
118.583,3.33
123.076,3.91
124.226,3.91
127.74,4.35
128.933,4.35
131.353,4.64
133.818,4.64
136.329,4.93
141.495,4.93
142.816,5.07
145.497,5.07
146.856,5.22
156.731,5.22
158.195,5.07
161.164,5.07
162.669,4.93
170.41,4.93
175.229,4.64
178.518,4.64
181.869,4.35
185.282,4.35
190.522,3.91
192.302,3.91
209.085,2.61
211.038,2.46
213.009,2.17
214.999,2.17
219.034,1.59
221.08,1.59
225.229,1.01
227.333,1.01
229.456,0.72
233.763,0.43
235.946,0.14
238.15,0.14
240.374,-0.14
242.62,-0.14
244.886,-0.43
247.173,-0.43
249.482,-0.72
251.812,-0.72
254.164,-1.01
256.538,-1.01
266.258,-1.59
268.745,-1.59
278.927,-2.17
281.533,-2.17
289.496,-2.61
292.2,-2.61
300.464,-3.04
303.271,-3.04
311.848,-3.33
314.761,-3.33
317.701,-3.48
320.669,-3.48
326.687,-3.77
332.818,-3.77
342.232,-4.06
348.655,-4.06
355.198,-4.35
368.656,-4.35
375.575,-4.64
397.121,-4.64
408.354,-4.93
469.463,-4.93
482.742,-4.64
496.395,-4.64
501.032,-4.49
510.435,-4.49
515.203,-4.35
529.775,-4.35
544.759,-4.06
554.983,-4.06
565.399,-3.77
576.011,-3.77
581.391,-3.62
586.822,-3.62
592.303,-3.48
597.835,-3.48
614.744,-3.19
626.282,-3.19
638.036,-2.9
643.996,-2.9
650.011,-2.75
656.082,-2.75
668.396,-2.46
674.639,-2.46
740.369,-1.01
754.264,-0.43
761.309,-0.43
775.598,0.14
782.842,0.14
790.154,0.43
797.535,0.58
804.984,1.01
812.503,1.01
835.484,1.88
843.288,1.88
851.164,2.17
867.139,2.46
875.239,2.46
899.994,2.75
908.4,2.61
925.449,2.61
951.625,2.17
987.68,1.01
996.906,0.58
1006.217,0.29
1025.102,-0.58
1054.096,-1.59
1063.942,-1.88
1104.253,-2.46
1114.567,-2.61
1269.504,-2.61
1281.361,-2.46
1305.41,-2.46
1317.603,-2.32
1459.484,-2.32
1500.763,-2.03
1631.742,-2.03
1677.894,-1.74
1807.449,-1.74
1858.57,-1.45
1965.193,-1.45
2020.776,-1.16
2136.704,-1.16
2197.138,-0.87
2323.183,-0.87
2388.892,-0.58
2479.404,-0.58
2502.562,-0.43
2549.531,-0.43
2573.345,-0.29
2670.845,-0.29
2746.387,0
2850.444,0
2931.066,0.29
2958.443,0.29
2986.077,0.43
3013.968,0.29
3042.12,0.29
3128.163,0.58
3246.685,0.58
3338.514,0.87
3401.172,0.87
3432.94,1.01
3465.005,1.01
3530.037,1.3
3563.009,1.3
3596.289,1.59
3629.881,1.59
3698.007,2.17
3732.548,2.61
3802.601,3.19
3838.119,3.62
3910.154,4.2
3946.676,4.2
3983.54,4.49
4020.748,4.49
4173.089,3.91
4251.41,3.33
4291.12,3.33
4371.656,2.75
4453.705,2.46
4495.304,2.46
4537.292,2.32
4709.204,2.32
4842.399,2.75
4887.629,2.75
4933.282,3.04
4979.361,3.04
5025.871,3.48
5072.815,3.62
5168.022,4.2
5216.294,4.64
5314.194,5.22
5363.831,5.65
5413.932,5.65
5464.501,5.94
5515.541,6.09
5619.058,6.09
5777.987,5.65
5831.956,5.65
5886.43,5.36
6052.921,4.06
6109.458,3.77
6224.122,2.9
6282.258,2.32
6400.164,1.45
6459.945,1.16
6520.284,0.72
6704.703,-0.14
6958.735,-0.72
7023.733,-0.72
7089.338,-0.87
7222.391,-0.87
7357.943,-0.58
7566.054,-0.43
7636.725,-0.14
7708.055,-0.14
7852.721,0.43
7926.069,0.58
8226.377,1.74
8380.771,2.61
8459.051,2.9
8861.558,5.07
8944.329,5.65
9027.873,5.94
9197.31,6.81
