freq_hz,level_db
35.857,-29.61
36.101,-29.61
36.844,-29.21
37.348,-28.58
37.603,-28.42
38.117,-27.95
38.377,-27.63
41.074,-25.27
41.354,-24.95
42.205,-24.24
42.493,-24.09
42.783,-23.77
43.368,-23.38
44.261,-22.59
44.866,-22.19
45.172,-21.88
46.416,-21.09
46.732,-20.77
47.051,-20.62
47.371,-20.3
48.019,-19.98
48.347,-19.67
48.676,-19.51
49.008,-19.2
49.678,-18.88
50.017,-18.56
51.394,-17.78
55.381,-15.41
56.521,-14.86
57.294,-14.38
58.078,-14.07
58.872,-13.6
59.678,-13.28
60.494,-12.81
61.739,-12.33
62.584,-11.86
64.307,-11.23
65.187,-10.76
67.898,-9.81
69.768,-9.02
78.842,-6.26
79.92,-6.1
82.681,-5.32
83.244,-5.32
85.537,-4.68
86.12,-4.68
87.298,-4.37
88.492,-4.21
89.702,-3.9
90.313,-3.9
91.549,-3.58
92.801,-3.42
94.711,-3.03
99.323,-2.4
100,-2.24
104.16,-1.77
104.869,-1.61
113.775,-0.66
114.551,-0.66
115.331,-0.5
116.117,-0.5
116.909,-0.35
117.705,-0.35
118.508,-0.19
120.128,-0.19
120.947,-0.03
121.772,-0.03
122.601,0.13
124.278,0.13
125.125,0.28
128.571,0.44
135.751,0.91
137.608,0.91
139.49,1.07
141.398,1.07
143.332,1.23
145.292,1.23
148.283,1.39
155.504,1.47
156.563,1.55
171.017,1.55
172.182,1.47
180.566,1.39
183.036,1.23
188.077,1.15
193.257,0.91
195.9,0.91
198.58,0.76
201.296,0.76
202.668,0.6
205.44,0.6
212.537,0.28
215.443,0.28
216.912,0.13
219.879,0.13
232.157,-0.35
235.332,-0.35
243.462,-0.66
246.792,-0.66
250.167,-0.82
253.589,-0.82
258.809,-0.98
262.349,-0.98
267.749,-1.14
276.999,-1.21
278.887,-1.29
284.628,-1.29
286.568,-1.37
351.336,-1.37
353.731,-1.29
424.931,-1.21
427.827,-1.14
457.896,-1.14
461.017,-1.06
503.576,-1.06
507.008,-0.98
538.969,-0.98
542.642,-0.9
584.738,-0.9
588.724,-0.82
621.599,-0.82
625.835,-0.74
674.386,-0.74
678.982,-0.66
716.898,-0.66
721.784,-0.58
772.513,-0.58
777.778,-0.5
815.651,-0.5
821.21,-0.43
878.927,-0.43
884.917,-0.35
921.726,-0.35
928.008,-0.27
986.507,-0.27
993.231,-0.19
1034.545,-0.19
1041.596,-0.11
1099.76,-0.11
1107.255,-0.03
1217.715,0.05
1226.014,0.13
1268.367,0.13
1277.011,0.21
1330.129,0.21
1339.195,0.28
1376.078,0.28
1385.457,0.36
1423.614,0.36
1433.317,0.44
1523.67,0.52
1576.305,0.68
1675.671,0.76
1733.557,0.91
1781.302,0.91
1842.836,1.07
1880.773,1.07
1893.591,1.15
1945.743,1.15
1959.004,1.23
1999.332,1.23
2040.49,1.39
2110.978,1.39
2183.901,1.55
2244.05,1.55
2259.344,1.62
2369.361,1.7
2385.509,1.78
2434.617,1.78
2451.21,1.86
2501.67,1.86
2588.09,2.02
2659.37,2.02
2732.613,2.18
2944.602,2.33
3025.701,2.49
3109.033,2.49
3194.661,2.65
3260.426,2.65
3373.056,2.81
3837.698,3.12
3943.394,3.28
4079.618,3.28
4107.422,3.36
4486.601,3.52
4517.179,3.6
4641.589,3.6
4673.223,3.68
4834.658,3.68
4867.608,3.75
5001.67,3.75
5035.759,3.83
5245.224,3.83
5280.972,3.91
5538.126,3.91
5575.871,3.99
6049.381,4.07
6090.61,4.15
6563.102,4.15
6607.832,4.23
8046.457,4.23
8101.297,4.15
8553.688,4.15
8611.985,4.07
8849.172,4.07
9092.893,3.91
9407.004,3.91
9666.088,3.75
9865.073,3.75
10775.772,3.28
10923.155,3.28
11072.554,3.12
11223.996,3.12
11611.725,2.81
11690.864,2.81
11770.542,2.65
11931.531,2.65
12012.849,2.49
12094.721,2.49
12177.152,2.33
12260.144,2.33
12597.808,2.02
12683.667,1.86
13032.996,1.55
13301.291,1.15
13483.217,0.99
13760.781,0.52
13948.99,0.36
14929.364,-1.29
15133.557,-1.77
15445.094,-2.32
15550.359,-2.63
15656.341,-2.79
15763.045,-3.11
16087.541,-3.82
16870.915,-5.87
17218.218,-7.05
17335.567,-7.37
17934.419,-9.5
18303.615,-10.99
18680.411,-12.73
19064.964,-14.78
19325.72,-16.36
19590.043,-18.09
19723.558,-19.04
19993.322,-21.17
