freq_hz,level_db
24.327,-4.65
24.413,-4.65
24.587,-4.38
24.938,-4.15
25.656,-3.31
26.022,-2.97
27.738,-1.79
28.739,-1.35
28.841,-1.25
29.883,-0.91
29.989,-0.74
30.743,-0.64
31.293,-0.37
31.966,-0.37
32.538,-0.2
33.712,-0.24
34.93,-0.13
39.828,-0.2
40.111,-0.13
40.54,-0.24
48.064,-0.2
48.235,-0.3
48.406,-0.2
49.8,-0.24
49.977,-0.34
50.154,-0.34
50.332,-0.2
51.051,-0.27
55.587,-0.24
55.785,-0.34
55.983,-0.24
56.582,-0.24
56.783,-0.34
57.187,-0.34
57.39,-0.24
59.252,-0.24
59.886,-0.4
60.526,-0.37
60.741,-0.24
60.957,-0.24
61.174,-0.34
69.014,-0.37
69.752,-0.47
71,-0.37
73.563,-0.4
73.825,-0.34
74.087,-0.4
75.412,-0.4
75.68,-0.34
79.251,-0.37
80.384,-0.54
81.244,-0.37
86.907,-0.4
87.216,-0.47
88.776,-0.44
89.408,-0.54
102.308,-0.57
103.036,-0.67
103.77,-1.15
104.88,-1.21
105.253,-1.11
105.626,-0.84
110.219,-0.64
147.422,-0.61
147.946,-0.51
148.472,-0.57
149.528,-0.51
150.06,-0.61
190.988,-0.54
197.883,-0.44
200.711,-0.51
204.302,-0.4
210.928,-0.4
215.465,-0.44
216.231,-0.74
216.999,-0.74
234.609,-0.37
276.184,-0.34
277.166,-0.4
287.172,-0.37
292.31,-0.44
294.391,-0.37
299.658,-0.44
302.864,-0.37
384.104,-0.34
385.468,-0.24
388.212,-0.24
389.592,-0.34
390.976,-0.34
392.365,-0.24
397.971,-0.24
400.804,-0.37
403.657,-0.37
405.092,-0.24
427.226,-0.2
488.866,-0.24
502.936,-0.17
510.122,-0.24
559.399,-0.24
667.941,-0.1
902.952,-0.07
1178.118,0.1
1963.335,0.1
1984.336,0.17
2005.563,0.1
2100.199,0.1
2107.661,0.17
2115.149,0.1
2145.37,0.1
2552.571,0.37
2654.125,0.64
2692.047,0.64
2701.612,0.71
2819.076,0.84
2910.513,1.05
2952.098,1.05
3026.308,1.21
3113.405,1.25
3169.109,1.38
3237.271,1.38
3378.025,1.59
3475.245,1.59
3487.593,1.65
3652.161,1.79
3948.543,1.92
3976.651,1.99
4120.223,1.99
4284.145,2.12
4954.698,2.12
4972.302,2.06
5115.405,2.12
5375.817,1.99
6000.595,1.92
6021.915,1.85
6217.238,1.79
6866.357,1.79
6964.463,1.72
7014.04,1.79
7215.905,1.79
7319.006,1.92
7476.425,1.92
7637.23,1.99
7746.351,2.12
7912.962,2.16
8026.022,2.33
8111.876,2.33
8863.989,2.93
9348.329,3.41
9414.876,3.41
9720.251,3.74
9929.317,3.81
10071.186,4.01
10106.969,3.98
10361.036,4.15
10546.413,4.35
10966,4.55
11083.303,4.69
11321.686,4.76
11442.793,4.89
11565.196,4.89
11855.919,5.09
12025.316,5.09
12240.47,5.23
12772.676,5.4
13280.835,5.43
13328.022,5.5
14257.118,5.5
14358.609,5.43
14877.006,5.4
15196.985,5.26
15523.847,5.23
16372.089,4.89
16963.18,4.55
17144.635,4.52
17266.681,4.38
18017.423,3.98
19137.186,3.14
