freq_hz,level_db
40.442,-24.04
40.9,-24.1
41.362,-23.98
42.066,-23.67
43.265,-23.3
44.25,-22.87
44.75,-22.75
46.286,-21.9
47.338,-21.22
48.688,-20.67
49.796,-20.37
50.076,-20.37
50.643,-20.12
50.928,-20.12
51.216,-20
51.504,-20
51.795,-19.88
52.087,-19.88
52.973,-19.63
53.272,-19.63
54.178,-19.39
55.1,-19.27
56.353,-18.9
59.948,-18.41
60.286,-18.29
61.658,-18.17
62.005,-18.04
65.224,-17.68
65.592,-17.55
65.962,-17.55
66.334,-17.43
66.708,-17.43
67.084,-17.31
67.462,-17.31
67.842,-17.19
68.225,-17.19
68.61,-17.06
68.997,-17.06
70.17,-16.82
71.364,-16.7
73.813,-16.21
80.761,-14.68
82.135,-14.31
83.064,-14.19
85.914,-13.46
86.886,-13.33
89.867,-12.6
91.396,-12.35
94.002,-11.74
94.532,-11.74
97.228,-11.13
98.327,-11.01
100,-10.64
100.564,-10.64
102.851,-10.21
108.19,-9.54
111.903,-8.99
112.534,-8.99
119.714,-8.01
120.389,-8.01
123.127,-7.65
123.822,-7.65
126.638,-7.28
127.352,-7.28
129.519,-7.03
132.465,-6.91
133.212,-6.79
135.478,-6.67
139.341,-6.48
140.917,-6.48
142.51,-6.36
148.231,-6.36
149.908,-6.24
159.473,-6.24
162.186,-6.12
383.388,-6.12
387.724,-5.99
403.289,-5.99
410.15,-5.87
429.021,-5.87
433.873,-5.75
477.394,-5.75
485.515,-5.63
513.597,-5.63
519.406,-5.5
565.115,-5.5
574.729,-5.38
611.399,-5.38
621.8,-5.26
665.204,-5.26
676.52,-5.14
723.744,-5.14
731.929,-5.02
774.264,-5.02
783.02,-4.89
842.401,-4.89
856.732,-4.77
891.126,-4.77
896.151,-4.71
901.204,-4.77
911.396,-4.65
942.668,-4.65
953.329,-4.53
986.041,-4.53
1002.815,-4.4
1154.173,-4.4
1173.808,-4.28
1241.701,-4.28
1262.825,-4.16
1389.495,-4.16
1405.21,-4.04
1469.864,-4.04
1494.869,-3.91
1590.249,-3.91
1617.302,-4.04
1769.552,-4.04
1799.655,-3.91
1871.903,-3.91
1893.073,-3.79
1958.03,-3.79
1980.174,-3.67
2142.354,-3.67
2166.583,-3.55
2240.925,-3.55
2266.268,-3.43
2317.818,-3.43
2344.031,-3.3
2479.61,-3.3
2521.793,-3.18
2667.654,-3.18
2713.035,-3.06
2774.747,-3.06
2806.128,-2.94
2869.957,-2.94
2902.415,-2.81
2951.79,-2.81
2985.173,-2.69
3035.956,-2.69
3070.291,-2.57
3122.522,-2.57
3157.835,-2.45
3211.556,-2.45
3266.191,-2.32
3435.734,-2.32
3455.107,-2.26
3675.56,-2.2
3717.128,-2.08
3801.68,-2.08
3844.675,-1.96
5635.283,-1.96
5699.014,-1.83
5828.647,-1.83
5894.565,-1.71
6413.304,-1.71
6485.834,-1.59
6633.364,-1.59
6708.383,-1.47
7056.606,-1.47
7096.396,-1.53
7808.217,-1.47
7896.523,-1.59
8076.141,-1.59
8353.259,-1.77
8786.865,-2.14
9191.152,-2.57
9506.529,-2.63
9832.727,-2.39
10578.401,-1.04
10880.029,-0.8
11127.511,-0.73
11253.356,-0.86
11444.796,-1.22
11574.229,-1.65
11837.502,-2.81
11904.251,-3.18
12243.683,-4.71
12735.21,-6.67
13246.469,-8.38
13624.173,-9.54
13700.996,-9.66
14171.119,-11.13
14575.188,-12.66
14990.778,-14.56
15245.799,-15.9
15505.158,-17.43
15592.588,-17.86
15680.51,-18.47
15768.929,-18.96
16127.617,-21.47
16218.557,-21.96
16401.978,-23.12
16681.005,-24.46
16869.656,-25.08
16964.78,-25.26
17253.382,-26.06
17546.894,-26.61
18251.319,-28.07
18457.729,-28.56
18877.578,-29.72
19415.845,-30.46
