freq_hz,level_db
40.158,-11.7
40.377,-11.82
40.818,-11.76
42.63,-11.4
43.33,-11.17
44.282,-11.05
44.765,-10.81
45.501,-10.7
50.173,-9.28
50.446,-9.28
52.401,-8.69
52.686,-8.69
55.325,-7.98
55.627,-7.98
57.469,-7.51
58.413,-7.39
59.696,-7.04
60.021,-7.04
61.673,-6.69
63.37,-6.45
63.716,-6.33
75.398,-4.92
81.797,-4.39
85.429,-4.27
86.362,-4.15
89.222,-4.15
91.181,-4.03
100,-4.03
100.545,-3.97
101.092,-4.03
118.335,-4.03
118.979,-3.97
129.077,-3.97
129.78,-3.92
149.461,-3.92
150.275,-3.97
151.093,-3.92
297.89,-3.92
299.513,-3.97
302.783,-3.92
397.243,-3.92
399.406,-3.97
403.768,-3.92
496.312,-3.92
499.015,-3.97
501.732,-3.92
596.957,-3.92
600.208,-3.97
606.763,-3.92
698.779,-3.92
702.584,-3.97
706.41,-3.92
796.056,-3.92
800.39,-3.97
809.131,-3.92
897.078,-3.92
901.963,-3.97
906.874,-3.92
1000,-3.92
1016.425,-3.8
1078.994,-3.8
1102.688,-3.68
1133.04,-3.68
1145.413,-3.56
1176.941,-3.56
1189.794,-3.44
1222.543,-3.44
1235.894,-3.33
1263.034,-3.33
1276.827,-3.21
1304.866,-3.21
1319.116,-3.09
1348.084,-3.09
1362.806,-2.97
1446.696,-2.85
1462.495,-2.74
1621.458,-2.5
1693.455,-2.26
1721.27,-2.26
1740.067,-2.15
1768.648,-2.15
1787.963,-2.03
1857.24,-1.91
1877.521,-1.79
1950.268,-1.67
2014.862,-1.44
2047.957,-1.44
2070.321,-1.32
2104.327,-1.32
2127.307,-1.2
2162.249,-1.2
2185.862,-1.08
2233.863,-1.08
2258.258,-0.97
2295.351,-0.97
2358.531,-0.85
2384.287,-0.73
2423.449,-0.73
2449.915,-0.61
2476.669,-0.61
2503.715,-0.5
2600.724,-0.32
2852.257,0.39
2867.789,0.51
2930.766,0.63
2946.725,0.74
2962.771,0.74
2978.905,0.86
2995.126,0.86
3011.436,0.98
3027.834,0.98
3111.176,1.33
3128.117,1.33
3145.151,1.45
3162.278,1.45
3179.498,1.57
3284.804,1.92
3449.339,2.28
3582.987,2.87
3602.498,2.87
3622.115,2.98
3782.946,3.4
3866.02,3.4
3908.239,3.51
3994.065,3.51
4216.965,3.75
4286.23,3.75
4428.192,3.99
4726.376,4.1
4777.991,3.99
4856.47,3.99
4909.505,3.87
5072.11,3.75
5268.635,3.75
5562.666,3.51
5654.035,3.51
5715.78,3.4
5969.575,3.4
6067.627,3.28
6234.639,3.22
6337.045,3.1
6441.133,2.87
6476.207,2.87
6582.581,2.63
6837.631,2.39
6874.865,2.28
7025.838,2.16
7064.096,2.04
7219.225,1.92
7258.536,1.8
7622.115,1.45
8047.489,1.21
8179.671,1.04
8268.997,1.04
8359.298,0.92
8778.013,0.92
8922.195,1.04
9019.629,0.98
9068.745,1.04
9471.42,1.04
9679.414,0.92
11269.037,0.92
11392.1,1.04
11705.669,1.04
11833.5,1.16
12027.869,1.16
12159.218,1.27
12493.903,1.33
12561.937,1.27
13048.664,1.27
13262.992,1.16
13480.841,1.16
13628.058,1.04
13927.332,1.04
14310.684,0.86
14624.948,0.51
15027.502,-0.44
15109.333,-0.55
15357.508,-1.32
15525.219,-1.67
15866.155,-2.56
16302.873,-3.8
16391.649,-4.15
16660.887,-4.86
16751.612,-5.21
17212.702,-6.45
17590.696,-7.51
17782.794,-8.16
17879.628,-8.4
19083.603,-12.29
19715.66,-14.41
20148.619,-15.06
