freq_hz,level_db
39.493,-6.31
39.697,-6.36
42.453,-5.46
43.564,-5.17
44.473,-5.06
44.935,-4.49
45.872,-4.38
48.553,-3.69
57.574,-1.82
57.872,-1.82
59.385,-1.48
63.181,-0.91
63.509,-0.8
65.507,-0.57
66.53,-0.34
67.918,-0.23
68.27,-0.11
68.978,-0.11
69.335,0.0
75.697,0.23
84.804,0.23
90.225,0.11
92.584,0.17
141.393,0.17
142.125,0.23
249.521,0.23
250.813,0.17
393.053,0.17
395.088,0.11
1075.841,0.11
1081.411,0.06
1168.5,0.06
1174.55,0.0
1399.968,0.0
1504.921,-0.11
1520.543,-0.06
1528.415,-0.11
1821.746,-0.11
1831.178,-0.17
1978.649,-0.17
1988.892,-0.23
2509.146,-0.23
2642.113,-0.11
2655.791,-0.97
2697.252,-0.85
2711.216,-0.51
2854.891,-0.28
2869.671,-0.34
2899.461,-0.17
3068.918,-0.34
3084.805,-0.46
3116.828,-0.46
3132.964,-0.57
3214.905,-0.68
3231.549,-0.8
3473.813,-1.02
3491.796,-1.14
3546.309,-1.14
3564.668,-1.25
3620.318,-1.25
3639.061,-1.36
3851.743,-1.42
3932.127,-1.36
3972.946,-1.25
4034.969,-1.25
4055.859,-1.14
4097.962,-1.14
4119.177,-1.02
4183.484,-1.02
4205.142,-0.91
4270.791,-0.91
4292.901,-0.8
4337.464,-0.8
4382.491,-0.68
4543.796,-0.57
4567.32,-0.46
4686.775,-0.34
4711.039,-0.23
4834.253,-0.17
5012.187,-0.23
5038.135,-0.34
5116.788,-0.34
5143.278,-0.46
5250.615,-0.46
5277.798,-0.57
5615.175,-0.68
5702.837,-0.8
6067.384,-0.8
6098.795,-0.68
6162.106,-0.68
6194.007,-0.57
6421.989,-0.23
6556.012,0.06
6692.832,0.23
6727.481,0.34
6797.318,0.34
6832.507,0.45
7157.528,0.45
7420.973,0.23
7814.233,-0.51
8101.85,-0.8
8531.191,-0.8
8754.319,-0.68
9313.93,-0.68
9557.531,-0.8
9607.01,-0.91
9909.313,-1.02
9960.613,-1.14
10221.128,-1.25
10274.043,-1.36
10380.696,-1.36
10434.437,-1.48
10542.755,-1.48
10597.335,-1.59
10707.344,-1.59
10762.776,-1.71
11044.27,-1.82
11101.447,-1.93
11216.689,-1.93
11274.758,-2.05
11391.799,-2.05
11450.774,-2.16
11872.241,-2.39
11933.703,-2.5
12057.585,-2.5
12120.007,-2.61
12566.106,-2.84
12631.161,-2.96
12961.522,-3.07
13028.624,-3.18
13300.524,-3.3
13369.381,-3.41
13508.166,-3.41
13578.098,-3.52
13719.05,-3.52
13790.073,-3.64
14077.864,-3.75
14150.745,-3.86
14520.85,-3.98
14596.025,-4.09
14900.635,-4.21
14977.776,-4.32
15853.142,-4.49
16100.635,-5.06
17041.626,-5.23
17129.85,-5.34
17397.274,-5.34
17487.34,-5.46
17668.873,-5.46
17760.345,-5.57
17944.712,-5.57
18037.612,-5.68
18224.857,-5.68
18319.208,-5.8
18701.519,-5.91
18798.337,-6.02
19591.144,-6.42
19692.568,-6.71
19896.993,-6.76
20000.0,-6.93
