freq_hz,level_db
40.347,-4.97
40.857,-5.25
49.318,-3.6
50.996,-3.41
51.21,-3.32
51.64,-3.32
51.857,-3.23
52.292,-3.23
52.511,-3.14
53.846,-3.05
54.072,-2.95
55.214,-2.86
55.446,-2.77
57.573,-2.59
57.814,-2.5
58.3,-2.5
59.283,-2.31
60.79,-2.22
61.045,-2.13
63.122,-1.94
63.387,-1.85
64.998,-1.76
65.27,-1.67
65.818,-1.67
66.929,-1.49
68.63,-1.39
69.788,-1.21
70.374,-1.21
70.669,-1.12
72.465,-1.03
72.769,-0.94
74.306,-0.84
74.618,-0.75
76.514,-0.66
76.835,-0.57
78.459,-0.48
78.788,-0.39
79.782,-0.39
80.117,-0.29
81.81,-0.2
82.153,-0.11
83.19,-0.11
83.539,-0.02
89.695,0.35
97.93,0.58
3192.179,0.53
3427.427,0.62
3710.926,0.9
3726.48,0.99
3837.201,1.08
3901.941,1.27
3934.719,1.27
3951.211,1.36
3984.403,1.36
4278.035,1.91
4313.973,1.91
4386.756,2.09
4442.149,2.09
4460.768,2.18
4574.133,2.28
4593.306,2.37
4651.306,2.37
4670.802,2.46
4729.781,2.46
4749.606,2.55
4829.739,2.64
5384.601,3.01
5429.834,3.1
5521.444,3.1
5567.827,3.19
5854.423,3.38
7246.481,3.74
8747.24,4.25
10000,4.25
12326.124,3.74
13627.722,3.19
13684.842,3.1
13857.643,3.1
13915.727,3.01
14091.444,3.01
14150.508,2.92
14329.189,2.92
14389.25,2.83
14816.781,2.73
14878.885,2.64
15003.875,2.64
15066.764,2.55
17885.362,1.22
19609.269,0.17
19856.879,0.35
