freq_hz,level_db
50.427,-0.43
51.73,-0.43
53.52,-0.62
60.287,-0.72
60.802,-0.81
68.49,-0.91
69.075,-1
70.86,-1
71.465,-1.1
73.938,-1.1
76.497,-1
77.15,-0.91
79.82,-0.91
80.502,-0.81
83.287,-0.81
83.998,-0.72
90.68,-0.62
91.455,-0.53
94.619,-0.43
121.085,-0.43
122.119,-0.33
158.958,-0.33
186.835,-0.19
227.199,-0.14
319.261,-0.14
321.988,-0.05
375.251,-0.05
384.948,0.05
492.621,0.05
505.351,0.14
652.224,0.19
692.231,0.14
710.12,0.24
901.05,0.19
924.335,0.29
989.411,0.33
1298.877,0.33
1309.97,0.43
1987.199,0.53
2021.288,0.62
2091.231,0.62
2109.092,0.53
2416.523,0.43
2437.162,0.33
2676.163,0.33
2745.32,0.24
2889.042,0.24
2938.602,0.33
3145.491,0.33
3172.356,0.43
3366.946,0.53
3395.703,0.62
3543.211,0.62
3573.473,0.72
3890.677,0.81
3923.906,0.91
4164.596,1.1
4272.217,1.1
4308.705,1.2
4457.8,1.2
4495.874,1.29
4771.648,1.39
4894.956,1.58
5107.591,1.67
6878.4,3.35
6996.396,3.54
7362.667,3.78
7552.932,4.02
7948.339,4.26
8435.885,4.74
9029.805,5.12
9665.54,5.22
9748.092,5.31
10434.396,5.31
10523.514,5.22
10887.663,5.22
11169.02,5.12
12057.472,4.59
12581.245,3.92
12797.07,3.54
13016.598,2.97
13127.77,2.54
13239.891,1.96
13467.015,0.62
13582.034,-0.24
13933.019,-3.54
14293.073,-6.99
14415.147,-8.04
14538.264,-8.85
14787.661,-9.57
15041.336,-9.47
15169.801,-9
15299.363,-8.37
15694.727,-6.32
15828.772,-5.74
15963.962,-5.41
16100.307,-5.22
16799.699,-5.02
17381.024,-5.17
17529.472,-5.36
17830.181,-5.98
18136.05,-7.13
18447.165,-8.09
18604.718,-8.47
18763.617,-8.71
19085.498,-8.61
19412.901,-8.04
19745.92,-6.89
19914.565,-6.51
