freq_hz,level_db
46.67,8.21
48.833,8.11
49.726,8.16
50.179,8.06
59.067,7.76
74.083,7.09
74.757,7.14
78.933,6.84
80.377,6.84
104.53,5.82
105.481,5
109.374,5
110.37,5.41
111.374,5.46
113.411,5.41
114.443,5.26
117.596,5.2
120.837,5.1
124.166,4.9
131.103,4.74
132.296,4.59
137.179,4.49
138.427,4.39
144.842,4.18
151.555,3.67
152.934,3.72
155.731,3.67
161.478,3.42
183.316,2.3
190.082,2.04
193.558,1.99
198.891,1.73
202.528,1.38
206.231,1.33
213.842,1.07
232.01,0.41
234.122,0.26
236.253,0.26
249.451,-0.2
254.013,-0.26
256.325,-0.36
261.012,-0.36
263.387,0
268.204,0
273.108,-0.92
278.102,-0.92
290.99,-1.22
293.639,-1.22
299.008,-1.43
301.729,-1.43
333.35,-2.04
345.653,-2.14
348.799,-2.24
355.177,-2.24
378.433,-2.6
395.97,-2.65
399.574,-2.76
410.584,-2.86
466.111,-3.16
483.314,-3.21
496.631,-3.16
505.712,-3.27
584.603,-3.37
700.741,-3.27
720.049,-3.32
774.178,-3.21
781.224,-3.27
802.75,-3.16
817.429,-3.21
886.877,-3.11
1006.818,-2.86
1015.982,-2.91
1034.56,-4.18
1082.505,-3.88
1092.357,-3.52
1102.299,-2.96
1112.332,-3.21
1274.257,-2.6
1297.558,-2.45
1420.61,-2.14
1446.587,-0.92
1733.97,-0.82
1749.751,-1.63
1933.123,-1.43
2022.711,-1.22
2116.45,-0.92
2135.712,-0.82
2155.151,-0.51
2174.766,-0.41
2214.533,-0.26
2234.688,-0.26
2402.679,0.36
2424.547,0.51
2514.027,0.87
2606.809,1.33
2654.477,1.63
2752.443,2.04
2906.212,2.91
2932.663,3.16
2959.354,3.27
3013.469,3.62
3181.821,4.8
3210.78,4.9
3329.277,5.56
3483.566,6.22
3779.529,7.04
3883.668,7.14
3990.678,7.14
4137.957,6.94
4329.724,6.38
4489.517,5.66
4697.576,4.59
4740.33,4.44
5005.156,2.76
5096.679,2.04
5237.112,1.12
5430.392,-0.26
5479.817,-0.66
5999.491,-4.08
6054.095,-4.29
6164.799,-5
6277.527,-5.46
6450.496,-5.87
6628.231,-6.02
6810.863,-5.87
6935.405,-5.61
6998.528,-5.41
7062.225,-5.36
7456.767,-4.39
7662.228,-4.18
7873.351,-4.23
8090.29,-4.8
8238.228,-5.31
8620.014,-6.99
9101.585,-9.18
9184.423,-9.44
9437.487,-10.56
9523.382,-10.82
9610.059,-11.28
10055.421,-12.96
10332.485,-14.13
10617.183,-15.15
11009.02,-15.92
