freq_hz,level_db
37.276,-4.54
42.363,-4.64
42.752,-4.74
45.575,-4.8
53.723,-5.2
57.271,-5.26
57.797,-5.36
94.665,-6.63
125.663,-7.45
219.417,-8.83
261.016,-9.13
291.263,-9.13
337.115,-8.88
390.184,-8.47
419.774,-8.16
427.516,-8.16
464.159,-7.86
468.419,-7.76
513.236,-7.45
517.947,-7.35
537.228,-7.24
542.159,-7.14
552.158,-7.14
557.226,-7.04
633.268,-6.53
650.867,-6.33
767.221,-5.71
774.264,-5.61
810.457,-5.41
817.897,-5.26
840.627,-5.2
896.151,-4.8
921.055,-4.74
929.51,-4.59
990.904,-4.29
1056.354,-3.88
1066.05,-3.52
1075.836,-2.96
1085.711,-3.21
1245.197,-2.6
1268.162,-2.45
1303.405,-2.4
1315.369,-2.3
1364.334,-2.24
1376.857,-2.14
1402.25,-2.14
1415.121,-0.92
1550.516,-0.87
1564.748,-1.84
1861.407,-1.48
2020.95,-1.12
2039.5,-0.26
2096.18,-0.2
2115.421,-0.51
2360.565,0.36
2382.232,0.51
2470.911,0.87
2562.891,1.33
2610.157,1.63
2707.321,2.04
2808.101,2.6
2966.349,3.62
3133.515,4.8
3250.16,5.36
3279.994,5.56
3433.32,6.22
3727.594,7.04
3901.843,7.14
4084.239,6.94
4275.16,6.38
4434.303,5.66
4641.589,4.59
4684.195,4.44
4858.564,3.32
5179.475,1.12
5372.281,-0.26
5421.594,-0.66
5940.316,-4.08
6049.87,-4.64
6105.402,-5
6218.001,-5.46
6332.676,-5.77
6568.411,-6.02
6750.953,-5.87
7002.258,-5.36
7396.864,-4.39
7602.429,-4.18
7813.707,-4.23
7885.43,-4.39
8178.966,-5.31
8329.807,-5.97
8719.191,-7.7
9043.764,-9.18
9126.777,-9.44
9380.419,-10.56
9466.523,-10.82
9553.417,-11.28
