freq_hz,level_db
49.036,1.65
49.922,1.78
53.437,2.99
56.791,3.83
57.404,3.83
61.007,4.82
61.887,4.82
68.906,5.83
73.231,6.28
82.713,6.98
99.643,7.65
102.172,7.65
104.765,7.77
105.141,7.77
105.518,7.65
115.815,8.07
117.066,7.97
126.661,7.99
135.094,7.85
136.066,7.77
144.606,7.65
164.503,7.14
169.891,7.08
206.875,6.24
208.362,6.22
210.612,6.32
229.514,5.71
230.337,5.77
232.825,5.75
287.599,4.72
290.705,4.68
292.795,4.78
317.931,4.14
321.365,4.16
340.316,3.9
401.256,3.01
405.59,3.13
438.835,2.44
446.764,2.48
517.418,1.8
561.838,1.55
618.873,1.15
681.699,0.99
