freq_hz,level_db
50.733,-8.16
58.261,-7.16
59.424,-6.87
60.61,-6.72
62.229,-6.29
63.471,-6.15
63.891,-6.01
64.313,-6.01
64.738,-5.86
66.467,-5.72
66.906,-5.57
67.348,-5.57
68.242,-5.36
70.064,-5.29
75.33,-4.71
76.834,-4.64
77.341,-4.5
78.367,-4.43
81.527,-3.71
82.066,-3.71
87.079,-3.13
92.399,-2.7
93.009,-2.56
94.866,-2.41
95.493,-2.27
96.124,-2.27
97.399,-2.05
100,-1.84
101.326,-1.84
102.67,-1.7
111.117,-1.41
115.597,-1.12
120.258,-0.98
125.934,-0.98
126.766,-0.91
131.012,-0.91
131.878,-0.83
142.727,-0.69
146.538,-0.55
148.482,-0.33
150.451,-0.26
178.562,-0.26
179.742,-0.33
185.761,-0.33
186.989,-0.47
198.412,-0.55
203.71,-0.69
270.424,-0.69
272.212,-0.76
285.06,-0.76
286.944,-0.83
345.073,-0.91
347.354,-0.98
428.876,-0.98
431.711,-0.91
476.553,-0.91
479.703,-0.83
592.287,-0.83
596.202,-0.91
604.11,-0.83
675.704,-0.83
680.171,-0.76
707.596,-0.76
712.273,-0.69
770.87,-0.55
786.258,-0.47
791.455,-0.33
807.254,-0.33
812.59,-0.26
856.567,-0.26
891.104,-0.11
902.923,-0.19
1071.625,-0.26
1078.709,-0.11
1100.241,-0.11
1107.514,-0.04
1441.446,0.03
1450.974,-0.04
1688.371,-0.11
1710.765,-0.19
1722.073,-0.11
1815.27,-0.11
1964.609,0.17
1990.667,0.32
2098.401,0.39
2126.233,0.6
2197.44,0.75
2256.119,1.03
2271.032,1.03
2393.939,1.9
2409.763,1.9
2457.865,2.18
2573.87,2.47
2785.616,2.47
2841.221,2.33
2878.906,2.33
2994.986,2.04
3014.783,1.9
3034.711,1.9
3095.288,1.61
3115.747,1.61
3136.342,1.47
3157.073,1.47
3262.803,0.89
3306.08,0.75
3349.93,0.39
3416.799,0.32
3439.384,0.17
3485.003,0.1
3531.227,0.17
3554.568,0.32
3649.486,0.39
3673.61,0.6
3872.423,1.32
3923.786,1.61
4081.997,2.18
4136.139,2.47
4163.479,2.47
4190.999,2.61
4331.355,2.83
4476.41,2.83
4656.904,2.61
5140.623,1.9
5174.602,1.75
5637.324,1.18
5674.586,1.03
6061.031,0.6
6101.094,0.39
6305.418,0.32
6646.664,0.03
6914.664,0.39
7006.378,0.68
7146.234,0.89
7241.019,1.18
7288.882,1.18
7582.778,1.75
7888.523,2.04
8260.842,2.04
8425.739,1.9
8481.433,1.75
8537.495,1.75
8999.54,0.89
9059.027,0.89
9239.857,0.46
9486.591,0.17
9675.955,-0.19
9869.1,-0.4
9934.334,-0.62
10267.032,-1.34
10334.897,-1.41
10541.195,-1.84
10966.227,-2.92
11038.713,-3.2
11111.679,-3.35
11259.06,-3.85
11408.396,-4.5
11483.806,-4.64
11713.037,-5.57
11790.46,-5.79
11946.845,-6.58
12025.813,-6.87
12185.319,-7.66
12346.941,-8.3
12510.706,-9.24
12593.402,-9.53
12844.782,-10.89
13015.151,-11.82
13274.95,-13.41
13629.434,-15.27
13719.524,-15.85
13993.384,-17.21
14085.88,-17.57
14178.987,-18.07
14367.052,-18.86
14653.837,-19.87
14750.699,-20.3
14848.2,-20.59
15446.895,-22.82
15859.377,-24.61
