freq_hz,level_db
102.112,14.9
104.998,14.9
107.965,15.07
110.245,15.07
111.792,14.9
116.564,14.9
117.379,15.07
126.729,15.07
127.615,14.9
133.062,14.9
133.992,15.07
144.665,15.07
145.676,14.9
151.895,14.9
152.957,15.07
154.026,15.07
158.379,14.9
174.605,14.9
178.293,14.73
188.513,14.73
189.831,14.9
195.195,14.9
199.318,14.65
207.826,14.65
209.279,14.57
215.193,14.57
216.698,14.65
218.213,14.9
227.528,14.9
229.119,14.23
232.334,14.23
235.594,14.06
243.945,14.06
245.651,13.98
247.368,13.98
249.097,14.9
259.731,14.9
261.547,13.73
267.071,13.73
270.818,13.56
278.471,13.56
280.418,13.48
282.379,13.56
284.353,14.9
296.491,14.9
300.652,13.23
302.754,13.23
304.87,13.06
313.486,13.06
315.677,12.89
320.107,12.89
322.345,13.06
326.868,14.9
333.772,14.9
338.455,12.47
340.821,12.56
345.603,12.56
348.02,12.39
355.37,12.39
360.356,12.22
365.413,12.22
367.967,12.47
383.675,11.64
386.358,11.89
389.059,11.89
391.779,11.72
400.053,11.72
402.85,11.56
408.503,11.56
414.235,11.39
417.131,11.47
437.978,10.89
441.04,11.05
447.229,10.89
453.504,10.89
456.674,10.72
466.32,10.72
469.58,10.55
472.863,10.55
476.169,10.8
506.982,10.05
514.096,10.05
517.69,9.88
528.624,9.88
532.32,9.72
536.041,9.72
539.789,9.88
566.766,9.3
570.729,9.38
574.719,9.21
582.783,9.21
599.252,9.05
603.442,8.88
611.909,8.88
642.491,8.29
646.983,8.55
651.506,8.38
660.647,8.38
665.266,8.21
679.317,8.21
684.067,8.04
738.552,7.54
748.915,7.54
754.151,7.37
770.079,7.37
775.463,7.21
786.344,7.21
791.842,7.29
831.416,6.71
848.976,6.71
854.912,6.54
872.968,6.54
879.072,6.37
903.914,6.45
942.5,5.62
949.089,5.87
962.407,5.87
969.135,5.7
982.733,5.7
1003.49,5.37
1017.57,5.28
1024.684,5.54
1075.895,4.95
1106.3,4.78
1153.526,4.7
1161.59,4.53
1219.644,3.95
1271.708,3.7
1280.599,3.53
1298.567,3.53
1307.646,3.36
1316.788,3.53
1392.264,3.28
1461.846,3.28
1472.066,3.19
1503.158,3.19
1578.282,2.78
1589.316,3.03
1622.884,3.03
1645.655,2.86
1715.905,2.86
1801.662,2.44
1814.258,2.69
1826.942,2.69
1839.714,2.53
1878.571,2.53
1891.704,2.36
1958.763,2.36
2056.657,1.94
2071.036,2.19
2114.778,2.19
2144.451,2.02
2205.053,2.02
2220.469,1.86
2235.993,1.94
2347.743,1.44
2364.157,1.69
2414.09,1.69
