freq_hz,level_db
36.652,-0.78
50.599,-0.93
67.975,-1.31
100.912,-1.26
101.372,-1.57
101.833,-1.57
118.837,-1.11
140.582,-0.96
231.682,-0.88
232.736,-1.16
308.427,-0.81
316.947,-0.71
399.556,-0.35
403.202,-0.25
435.565,-0.2
515.266,0.1
695.359,0.23
698.524,0.3
724.37,0.33
860.818,0.35
872.627,0.33
876.599,0.23
880.589,0.3
904.914,0.3
913.171,0.23
1095.085,0.18
1958.453,0.15
2947.325,0.23
2960.741,0.3
3212.945,0.33
7243.702,0.43
10137.18,0.51
11151.602,0.61
13433.993,0.61
15820.166,0.45
16405.525,0.33
17012.543,0.03
17245.921,-0.18
17642.021,-0.38
17722.326,-0.51
19673.68,-1.99
19943.564,-2.1
